codigo,cod_prov,proveedor
0110100007,011,ATOMLUX
0221100162,022,CAMBRE
0221802042,022,CAMBRE
0222001666,022,CAMBRE
0222001685,022,CAMBRE
0270135100,027,Sin proveedor
0400604250,040,CORILUX
0400804285,040,CORILUX
0410300128,041,DAYTON
0410700170,041,DAYTON
0411200571,041,DAYTON
0419900112,041,DAYTON
0450606753,045,DIBAPLAST
0490407184,049,EDY BRINA
0491107311,049,EDY BRINA
0582408540,058,ELIBET
0662109601,066,BAW
0671800331,067,EXIMEL
0681430585,068,Sin proveedor
0741711270,074,CARLOS FLORES
0760810101,076,FRIHEL
0771000300,077,Sin proveedor
0832900560,083,PRIOLO
0833400659,083,PRIOLO
0835601286,083,PRIOLO
0836201442,083,PRIOLO
0838502171,083,PRIOLO
0838902290,083,PRIOLO
0911214996,091,CABLES
0920215214,092,Sin proveedor
0982100508,098,INTERELEC
1021000152,102,JELUZ
1070818075,107,LCT
1074201591,107,LCT
1140100039,114,LEYDEN
1283404335,128,SCHNEIDER
128344311,128,SCHNEIDER
1284002304,128,SCHNEIDER
1291623683,129,ABB
1291623936,129,ABB
1291623939,129,ABB
1291625175,129,ABB
1332523140,133,NOLLMANN
1353105110,135,SIEMENS
1353406019,135,SIEMENS
1353406366,135,SIEMENS
1435100201,143,PLASNAVI
1471225712,147,PORCELETRIC
1580416662,158,Sin proveedor
1600118192,160,GEN ROD
1600561228,160,GEN ROD
1600561810,160,GEN ROD
1600663021,160,GEN ROD
1600663040,160,GEN ROD
1600668001,160,GEN ROD
1621000205,162,STECK
1624100303,162,STECK
1651533082,165,FACBSA
1710322031,171,TEA
1720628451,172,TACSA
1791732000,179,VIYILANT
1800500424,180,WEG EQUIPAMIENTO
1800700724,180,WEG EQUIPAMIENTO
1803501142,180,WEG EQUIPAMIENTO
1811329461,181,YARLUX
1813629982,181,YARLUX
1841400218,184,ZOLODA
1843702329,184,ZOLODA
1844403215,184,ZOLODA
1844502945,184,ZOLODA
1900237717,190,TBCIN
1900937888,190,TBCIN
1903240151,190,TBCIN
1903840210,190,TBCIN
2060300052,206,Sin proveedor
2070538640,207,MICROCONTROL
2074239053,207,MICROCONTROL
2090105706,209,Sin proveedor
2171138784,217,NICOM
2221600100,222,SCAME
2294800104,229,FINDER
3310500272,331,ARGELUZ
3310500340,331,ARGELUZ
3310700460,331,ARGELUZ
3540500125,354,NOVA ELECTRICITY
3718503208,371,GRAL ELECTRIC
3718803235,371,GRAL ELECTRIC
4020600100,402,RICHI
7020800264,702,BREMEN
8040850637,804,CANDIL
8100251753,810,Sin proveedor
8160250027,816,FERROLUZ
8200751103,820,ILUM INTEGRAL
8200951115,820,ILUM INTEGRAL
8202252752,820,ILUM INTEGRAL
8240800250,824,CARILUX
8240900100,824,CARILUX
8261152124,826,Sin proveedor
8290651604,829,MASSA
8352051341,835,RONDA
8355559611,835,RONDA
8370151450,837,Sin proveedor
8372900310,837,Sin proveedor
8390650306,839,Sin proveedor
8470953328,847,INDULAR
8477000760,847,INDULAR
8477000766,847,INDULAR
8477500520,847,INDULAR
8495000164,849,SC LED-MULTILED
8510100496,851,TULARTE
8660754524,866,NOVALUCCE
8700554119,870,FUINYTER
8730300070,873,TICAR
8732300811,873,TICAR
8801200447,880,TECLASTAR
8801201005,880,TECLASTAR
8810300170,881,180 GRADOS
8811200205,881,180 GRADOS
8880100224,888,Sin proveedor
0220700107,022,CAMBRE
0321800433,032,CIOCCA PLAST
0400104117,040,CORILUX
0400204131,040,CORILUX
0410100001,041,DAYTON
0410104512,041,DAYTON
0520700118,052,ITAL AIR
0650108921,065,ESCANORT
0670200021,067,EXIMEL
0672110251,067,EXIMEL
0740411079,074,CARLOS FLORES
0800612301,080,Sin proveedor
0820312550,082,Sin proveedor
0830212720,083,PRIOLO
0830912901,083,PRIOLO
0834600895,083,PRIOLO
0835413383,083,PRIOLO
0836024121,083,PRIOLO
0838502090,083,PRIOLO
0838902311,083,PRIOLO
0839002380,083,PRIOLO
0850230319,085,Sin proveedor
0880114117,088,Sin proveedor
1020216843,102,JELUZ
1021900309,102,JELUZ
1022700453,102,JELUZ
1026000130,102,JELUZ
1030422141,103,Sin proveedor
1070417982,107,LCT
1071318165,107,LCT
1074901921,107,LCT
1080431057,108,LPD
10835601331,108,LPD
1140800016,114,LEYDEN
1241120126,124,METALCE
1281501425,128,SCHNEIDER
1283203940,128,SCHNEIDER
128344322,128,SCHNEIDER
1283604620,128,SCHNEIDER
1291019634,129,ABB
1291623433,129,ABB
1291623469,129,ABB
1291624012,129,ABB
1291624834,129,ABB
1292521701,129,ABB
1294130522,129,ABB
1350100015,135,SIEMENS
1351402179,135,SIEMENS
1353205340,135,SIEMENS
1353406024,135,SIEMENS
1353606424,135,SIEMENS
1353906643,135,SIEMENS
1430700147,143,PLASNAVI
1470525642,147,PORCELETRIC
1482000402,148,PORTERITO
1600223016,160,GEN ROD
1600226005,160,GEN ROD
1600229019,160,GEN ROD
1600229108,160,GEN ROD
1600661002,160,GEN ROD
1600661743,160,GEN ROD
1600663056,160,GEN ROD
1600664101,160,GEN ROD
1600664167,160,GEN ROD
1600664396,160,GEN ROD
1600665343,160,GEN ROD
1610110132,161,SAN JUSTO
1611027612,161,SAN JUSTO
1612427162,161,SAN JUSTO
1652833218,165,FACBSA
1720328420,172,TACSA
1721400002,172,TACSA
1800500861,180,WEG EQUIPAMIENTO
1800800139,180,WEG EQUIPAMIENTO
1801801601,180,WEG EQUIPAMIENTO
1802500816,180,WEG EQUIPAMIENTO
1802902319,180,WEG EQUIPAMIENTO
1804801392,180,WEG EQUIPAMIENTO
1810229311,181,YARLUX
1840135801,184,ZOLODA
1840635850,184,ZOLODA
1844202622,184,ZOLODA
1845003067,184,ZOLODA
1846503656,184,ZOLODA
1846603742,184,ZOLODA
1870100053,187,IND. BASICA
1950627600,195,SICA
2074900800,207,MICROCONTROL
2220700086,222,SCAME
3310300100,331,ARGELUZ
3310500311,331,ARGELUZ
3312001015,331,ARGELUZ
3590600055,359,IMPORTADORA JA
4980200257,498,Sin proveedor
8011152071,801,AKAI
8040350596,804,CANDIL
8050351200,805,MACROLED
8051600104,805,MACROLED
8100251740,810,Sin proveedor
8202052745,820,ILUM INTEGRAL
8340752111,834,Sin proveedor
8351451231,835,RONDA
8352451228,835,RONDA
8360250165,836,Sin proveedor
8370451485,837,Sin proveedor
8392450440,839,Sin proveedor
8420951545,842,TIEMPO ATRÁS
8441450937,844,VIGNOLO
8476800210,847,INDULAR
8495000616,849,SC LED-MULTILED
8510152250,851,TULARTE
8510152640,851,TULARTE
8660354489,866,NOVALUCCE
8660554099,866,NOVALUCCE
8665152999,866,NOVALUCCE
8670154508,867,Sin proveedor
8732000300,873,TICAR
8732200975,873,TICAR
8750455100,875,IND. SUR
8771055226,877,LGP
8801000387,880,TECLASTAR
8850500250,885,DON BELL
0100200178,010,ASANNO
0220700108,022,CAMBRE
0221800289,022,CAMBRE
0320603133,032,CIOCCA PLAST
0321202971,032,CIOCCA PLAST
0321900480,032,CIOCCA PLAST
0340236022,034,Sin proveedor
0360201018,036,COMMAX
0410104500,041,DAYTON
0411200500,041,DAYTON
0419900100,041,DAYTON
0430005302,043,DELGA
0430206115,043,DELGA
0432400001,043,DELGA
0671300256,067,EXIMEL
0671310103,067,EXIMEL
0671810203,067,EXIMEL
0740311029,074,CARLOS FLORES
0811012570,081,GAMASONIC
0830612751,083,PRIOLO
0834113223,083,PRIOLO
0835601111,083,PRIOLO
0835601226,083,PRIOLO
0835801452,083,PRIOLO
0838602137,083,PRIOLO
0891200000,089,TRAFOS Y COLUMNAS PRIOLO
0900114434,090,HOYOS
0911214986,091,CABLES
1023100534,102,JELUZ
1040117000,104,KALOP
1042000100,104,KALOP
1071600678,107,LCT
1071800779,107,LCT
1073001248,107,LCT
1211419830,121,LAMPEN
1230119504,123,AG METALURGICA
1230800070,123,AG METALURGICA
1281601911,128,SCHNEIDER
1283604582,128,SCHNEIDER
1284501369,128,SCHNEIDER
1289500110,128,SCHNEIDER
1290118217,129,ABB
1290919321,129,ABB
1291621757,129,ABB
1291624425,129,ABB
1291625278,129,ABB
1292027458,129,ABB
1292221592,129,ABB
1292628073,129,ABB
1293329770,129,ABB
1331522952,133,NOLLMANN
1350300051,135,SIEMENS
1359900022,135,SIEMENS
1400924272,140,PHILIPS
1402701110,140,PHILIPS
1402800889,140,PHILIPS
1408000205,140,PHILIPS
1420224940,142,PRYSMIAN
1430100012,143,PLASNAVI
1480100000,148,PORTERITO
1481200248,148,PORTERITO
1590200500,159,ENERGIU
1600224008,160,GEN ROD
1600558054,160,GEN ROD
1600661832,160,GEN ROD
1600662211,160,GEN ROD
1600662829,160,GEN ROD
1600663061,160,GEN ROD
1611623634,161,SAN JUSTO
1626700401,162,STECK
1626700412,162,STECK
1790231335,179,VIYILANT
1800400212,180,WEG EQUIPAMIENTO
1800500461,180,WEG EQUIPAMIENTO
1801700724,180,WEG EQUIPAMIENTO
1801701456,180,WEG EQUIPAMIENTO
1801801547,180,WEG EQUIPAMIENTO
1802201997,180,WEG EQUIPAMIENTO
1806101668,180,WEG EQUIPAMIENTO
1817230357,181,YARLUX
1841800270,184,ZOLODA
1844803654,184,ZOLODA
1845103117,184,ZOLODA
1848504270,184,ZOLODA
1900337724,190,TBCIN
1901538067,190,TBCIN
1951327967,195,SICA
2070638650,207,MICROCONTROL
2074500351,207,MICROCONTROL
2074900801,207,MICROCONTROL
2229900220,222,SCAME
3591400161,359,IMPORTADORA JA
3716703679,371,GRAL ELECTRIC
3719703600,371,GRAL ELECTRIC
3719703700,371,GRAL ELECTRIC
7020800342,702,BREMEN
8000352663,800,AQUALUCCE
8020551123,802,NARVA
8110750250,811,Sin proveedor
8203852907,820,ILUM INTEGRAL
8226000050,822,KINGLIGHT
8260852107,826,Sin proveedor
8310650452,831,SAN LORENZO
8440350944,844,VIGNOLO
8441150946,844,VIGNOLO
8472753101,847,INDULAR
8490353413,849,SC LED-MULTILED
8490353472,849,SC LED-MULTILED
8620100329,862,VENTISTAR
8631254505,863,Sin proveedor
8640154362,864,BAEL
8660454227,866,NOVALUCCE
8661000111,866,NOVALUCCE
8665300300,866,NOVALUCCE
8720154803,872,Sin proveedor
8732300840,873,TICAR
8740255018,874,ARTELUM
8751500120,875,IND. SUR
8771065322,877,LGP
8800100000,880,TECLASTAR
8800600279,880,TECLASTAR
8810300060,881,180 GRADOS
0020131660,002,AEA
0170409131,017,Sin proveedor
0221500240,022,CAMBRE
0221802038,022,CAMBRE
0222001671,022,CAMBRE
0321400341,032,CIOCCA PLAST
0391004723,039,CONEXTUBE
0398310060,039,CONEXTUBE
0400104118,040,CORILUX
0412004752,041,DAYTON
0580208121,058,ELIBET
0641408760,064,EPUYEN
0662509662,066,BAW
0667510171,066,BAW
0671910212,067,EXIMEL
0672900539,067,EXIMEL
0740211300,074,CARLOS FLORES
0741100613,074,CARLOS FLORES
0800412103,080,Sin proveedor
0830500064,083,PRIOLO
0833413166,083,PRIOLO
0836024110,083,PRIOLO
0911214977,091,CABLES
0940415770,094,Sin proveedor
1020717011,102,JELUZ
1070718047,107,LCT
1071318157,107,LCT
1072601051,107,LCT
1074901909,107,LCT
1080100310,108,LPD
1211119800,121,LAMPEN
123456789,123,AG METALURGICA
1260220801,126,METALEC
1280100002,128,SCHNEIDER
1280500679,128,SCHNEIDER
1281401258,128,SCHNEIDER
1281501406,128,SCHNEIDER
1291319914,129,ABB
1291623537,129,ABB
1291624181,129,ABB
1293121724,129,ABB
1294030299,129,ABB
1351202050,135,SIEMENS
1353506366,135,SIEMENS
1400800222,140,PHILIPS
1421224905,142,PRYSMIAN
1600229090,160,GEN ROD
1600229851,160,GEN ROD
1600661343,160,GEN ROD
1600661456,160,GEN ROD
1600661538,160,GEN ROD
1611727398,161,SAN JUSTO
1611827335,161,SAN JUSTO
1620900100,162,STECK
1624200301,162,STECK
1626700544,162,STECK
1650500201,165,FACBSA
1651933126,165,FACBSA
1680828123,168,SUMDAF
1702328540,170,Sin proveedor
1800500406,180,WEG EQUIPAMIENTO
1801801641,180,WEG EQUIPAMIENTO
1803501138,180,WEG EQUIPAMIENTO
1803802890,180,WEG EQUIPAMIENTO
1803902921,180,WEG EQUIPAMIENTO
1805001467,180,WEG EQUIPAMIENTO
1811029672,181,YARLUX
1841400572,184,ZOLODA
1841900976,184,ZOLODA
1845203104,184,ZOLODA
1850538200,185,ATENAS VENTILACION
1870500073,187,IND. BASICA
1900137713,190,TBCIN
1903040003,190,TBCIN
2071438738,207,MICROCONTROL
2220200055,222,SCAME
2260200120,226,SATELCO
2274000270,227,CELITRON
3310500366,331,ARGELUZ
3310800442,331,ARGELUZ
3590700079,359,IMPORTADORA JA
7020800518,702,BREMEN
8012200110,801,AKAI
8040750642,804,CANDIL
8050551216,805,MACROLED
8051251103,805,MACROLED
8059500140,805,MACROLED
8200951120,820,ILUM INTEGRAL
8270152117,827,Sin proveedor
8290251564,829,MASSA
8290351572,829,MASSA
8310250364,831,SAN LORENZO
8312000170,831,SAN LORENZO
8392050405,839,Sin proveedor
8477000120,847,INDULAR
8480653300,848,Sin proveedor
8490453111,849,SC LED-MULTILED
8490453118,849,SC LED-MULTILED
8510100205,851,TULARTE
8610454225,861,Sin proveedor
8620200101,862,VENTISTAR
8640554393,864,BAEL
8640754427,864,BAEL
8660454361,866,NOVALUCCE
8750455144,875,IND. SUR
8850500360,885,DON BELL
8880830804,888,Sin proveedor
0100200110,010,ASANNO
0220301836,022,CAMBRE
0220700106,022,CAMBRE
0221900338,022,CAMBRE
0260102308,026,CONDUFLEX
0401000100,040,CORILUX
0410500098,041,DAYTON
0430506140,043,DELGA
0451206811,045,DIBAPLAST
0662109606,066,BAW
0671410132,067,EXIMEL
0741100201,074,CARLOS FLORES
0742311459,074,CARLOS FLORES
0790211611,079,Sin proveedor
0790711660,079,Sin proveedor
0830812782,083,PRIOLO
0832300490,083,PRIOLO
08331130743,083,PRIOLO
0837301646,083,PRIOLO
0838602201,083,PRIOLO
0890532298,089,TRAFOS Y COLUMNAS PRIOLO
0910114830,091,CABLES
0910614892,091,CABLES
0911615025,091,CABLES
0982116339,098,INTERELEC
0990535343,099,Sin proveedor
1070300121,107,LCT
1073001226,107,LCT
1120118908,112,Sin proveedor
1140300027,114,LEYDEN
1211219812,121,LAMPEN
1230319521,123,AG METALURGICA
1230500040,123,AG METALURGICA
1230900086,123,AG METALURGICA
1241220122,124,METALCE
1280300820,128,SCHNEIDER
1281400303,128,SCHNEIDER
1290218415,129,ABB
1290819170,129,ABB
1291121451,129,ABB
1291625493,129,ABB
1291625692,129,ABB
1292521661,129,ABB
1293730085,129,ABB
1294921931,129,ABB
1351902481,135,SIEMENS
1353806526,135,SIEMENS
1359900039,135,SIEMENS
1391224130,139,PERCANPLAST
1400124204,140,PHILIPS
1402500821,140,PHILIPS
1430325222,143,PLASNAVI
1600664337,160,GEN ROD
1621000100,162,STECK
1626700230,162,STECK
1651033038,165,FACBSA
1651333061,165,FACBSA
1652833219,165,FACBSA
1653633360,165,FACBSA
1700200025,170,Sin proveedor
1700628361,170,Sin proveedor
1710422047,171,TEA
1790231320,179,VIYILANT
1800500081,180,WEG EQUIPAMIENTO
1800500702,180,WEG EQUIPAMIENTO
1802902300,180,WEG EQUIPAMIENTO
